TLD,Type,Requirements
ABOGADO,Professional,Accredited lawyer or law firm required
AC,Country,Academic institutions
ACADEMY,Generic,None
ACCOUNTANT,Professional,None
ACCOUNTANTS,Professional,None
ACTOR,Generic,None
ADS,Generic,None
ADULT,Generic,None
AFRICA,Geographic,None
AG,Country,None
AGENCY,Generic,None
AI,Generic,None
AIRFORCE,Military,None
ALSACE,Geographic,None
AM,Country,None
AMSTERDAM,Geographic,None
ANALYTICS,Generic,None
APARTMENTS,Generic,None
APP,Generic,None
ARAB,Generic,None
ARCHI,Generic,None
ARMY,Military,None
ART,Generic,None
ASIA,Geographic,None
ASSOCIATES,Generic,None
AT,Country,Resident of Austria required
ATTORNEY,Professional,None
AUCTION,Generic,None
AUDIO,Generic,None
AUTHOR,Generic,None
AUTO,Generic,None
AUTOS,Generic,None
BABY,Generic,None
BAND,Generic,None
BANK,Financial,None
BAR,Generic,None
BARCELONA,Geographic,Intended use must be specified
BARGAINS,Generic,None
BASEBALL,Generic,None
BASKETBALL,Generic,None
BAYERN,Geographic,None
BCN,Geographic,None
BE,Country,None
BEAUTY,Generic,None
BEER,Generic,None
BERLIN,Geographic,None
BEST,Generic,None
BET,Generic,None
BIBLE,Generic,None
BID,Generic,None
BIKE,Generic,None
BINGO,Generic,None
BIO,Generic,None
BIZ,Generic,None
BLACK,Generic,None
BLACKFRIDAY,Generic,None
BLOG,Generic,None
BLUE,Generic,None
BOATS,Generic,None
BOND,Generic,None
BOO,Generic,None
BOOK,Generic,None
BOSTON,Geographic,None
BOT,Generic,None
BOUTIQUE,Generic,None
BOX,Generic,None
BR.COM,Country,None
BROADWAY,Geographic,None
BROKER,Generic,None
BRUSSELS,Geographic,None
BUDAPEST,Geographic,None
BUILD,Generic,None
BUILDERS,Generic,None
BUSINESS,Generic,None
BUY,Generic,None
BUZZ,Generic,None
BZ,Country,None
BZH,Geographic,None
CA,Country,Canadian citizen required
CAB,Generic,None
CAFE,Generic,None
CALL,Generic,None
CAM,Generic,None
CAMERA,Generic,None
CAMP,Generic,None
CANCERRESEARCH,Generic,None
CAPETOWN,Geographic,None
CAPITAL,Generic,None
CAR,Generic,None
CARDS,Generic,None
CARE,Generic,None
CAREER,Generic,None
CAREERS,Generic,None
CARS,Generic,None
CASA,Generic,None
CASH,Generic,None
CASINO,Generic,None
CATERING,Generic,None
CATHOLIC,Generic,None
CC,Country,None
CENTER,Generic,None
CEO,Generic,None
CFD,Generic,None
CH,Country,None
CHANNEL,Generic,Special requirements
CHARITY,Generic,None
CHAT,Generic,None
CHEAP,Generic,None
CHRISTMAS,Generic,None
CHURCH,Generic,None
CITY,Generic,None
CL,Country,None
CLAIMS,Generic,None
CLEANING,Generic,None
CLICK,Generic,None
CLINIC,Generic,None
CLOTHING,Generic,None
CLOUD,Generic,None
CLUB,Generic,None
CM,Country,None
CN,Country,None
CN.COM,Country,None
CO,Country,None
CO.AC,Country,None
CO.COM,Country,None
CO.IN,Country,None
CO.IO,Country,None
CO.NZ,Country,Intended use must be specified
CO.SH,Country,None
CO.UK,Country,None
COACH,Generic,None
CODES,Generic,None
COFFEE,Generic,None
COLLEGE,Generic,None
COLOGNE,Geographic,None
COM,Generic,None
COM.AC,Country,None
COM.BR,Country,Special requirements
COM.CN,Country,None
COM.CO,Country,None
COM.IO,Country,None
COM.MX,Country,None
COM.SH,Country,None
COM.TW,Country,None
COMMUNITY,Generic,None
COMPANY,Generic,None
COMPARE,Generic,None
COMPUTER,Generic,None
COMSEC,Generic,None
CONDOS,Generic,None
CONSTRUCTION,Generic,None
CONSULTING,Generic,None
CONTACT,Generic,None
CONTRACTORS,Generic,None
COOKING,Generic,None
COOL,Generic,None
CORP,Generic,None
COUNTRY,Generic,None
COUPON,Generic,None
COUPONS,Generic,None
COURSES,Generic,None
CPA,Professional,None
CREDIT,Generic,None
CREDITCARD,Generic,None
CREDITUNION,Generic,None
CRICKET,Generic,None
CRUISE,Generic,None
CRUISES,Generic,None
CX,Country,None
CYMRU,Geographic,None
CZ,Country,None
DAD,Generic,None
DANCE,Generic,None
DATA,Generic,None
DATE,Generic,None
DATING,Generic,None
DAY,Generic,None
DDS,Professional,None
DE,Country,None
DE.COM,Country,None
DEAL,Generic,None
DEALER,Generic,None
DEALS,Generic,None
DEGREE,Generic,None
DELIVERY,Generic,None
DEMOCRAT,Generic,None
DENTAL,Generic,None
DENTIST,Generic,None
DESI,Generic,None
DESIGN,Generic,None
DEV,Generic,None
DIAMONDS,Generic,None
DIET,Generic,None
DIGITAL,Generic,None
DIRECT,Generic,None
DIRECTORY,Generic,None
DISCOUNT,Generic,None
DIY,Generic,None
DK,Country,None
DOCS,Generic,None
DOCTOR,Generic,None
DOG,Generic,None
DOMAINS,Generic,None
DOT,Generic,None
DOWNLOAD,Generic,None
DUBAI,Geographic,None
DVR,Generic,None
EARTH,Generic,None
EAT,Generic,None
EC,Country,None
ECO,Generic,Special requirements
ECOM,Generic,None
EDU.AC,Country,None
EDU.IO,Country,None
EDU.SH,Country,None
EDUCATION,Generic,None
EMAIL,Generic,None
ENERGY,Generic,None
ENGINEER,Generic,None
ENGINEERING,Generic,None
ENTERPRISES,Generic,None
EQUIPMENT,Generic,None
ES,Country,Special requirements
ESQ,Professional,None
ESTATE,Generic,None
EU,Country,EU resident required
EU.COM,Country,None
EUS,Generic,Intended use must be specified
EVENTS,Generic,None
EXCHANGE,Generic,None
EXPERT,Generic,None
EXPOSED,Generic,None
EXPRESS,Generic,None
FAIL,Generic,None
FAITH,Generic,None
FAMILY,Generic,None
FAN,Generic,None
FANS,Generic,None
FARM,Generic,None
FASHION,Generic,None
FEEDBACK,Generic,None
FILM,Generic,None
FINAL,Generic,None
FINANCE,Generic,None
FINANCIAL,Generic,None
FINISH,Generic,None
FIRM.IN,Country,None
FISH,Generic,None
FISHING,Generic,None
FIT,Generic,None
FITNESS,Generic,None
FLIGHTS,Generic,None
FLORIST,Generic,None
FLOWERS,Generic,None
FLY,Generic,None
FM,Country,None
FOO,Generic,None
FOOD,Generic,None
FOOTBALL,Generic,None
FOREX,Generic,None
FORSALE,Generic,None
FORUM,Generic,None
FOUNDATION,Generic,None
FR,Country,EU resident required
FREE,Generic,None
FRL,Generic,None
FUN,Generic,None
FUND,Generic,None
FURNITURE,Generic,None
FUTBOL,Generic,None
FYI,Generic,None
GAL,Generic,None
GALLERY,Generic,None
GAME,Generic,None
GAMES,Generic,None
GARDEN,Generic,None
GAY,Generic,Special requirements
GED,Generic,None
GEN.IN,Country,None
GENT,Generic,None
GIFT,Generic,None
GIFTS,Generic,None
GIVES,Generic,None
GIVING,Generic,None
GLASS,Generic,None
GLOBAL,Generic,None
GMBH,Generic,None
GOLD,Generic,None
GOLF,Generic,None
GOT,Generic,None
GOV.AC,Country,None
GOV.IO,Country,None
GOV.SH,Country,None
GR.COM,Country,None
GRAPHICS,Generic,None
GRATIS,Generic,None
GREEN,Generic,None
GRIPE,Generic,None
GROCERY,Generic,None
GROUP,Generic,None
GS,Country,None
GUIDE,Generic,None
GUITARS,Generic,None
GURU,Generic,None
GY,Country,None
HAIR,Generic,None
HALAL,Generic,None
HAMBURG,Geographic,None
HAUS,Generic,None
HEALTH,Generic,Special requirements
HEALTHCARE,Generic,None
HELP,Generic,None
HELSINKI,Geographic,None
HERE,Generic,None
HIPHOP,Generic,None
HIV,Generic,None
HN,Country,None
