statusCode,status,statusColor,adminStatusName,adminStatusSlug,adminStatusTab,adminStatusAction,adminEmailSubject,adminEmailContent,clientStatusName,clientStatusSlug,clientStatusTab,clientStatusAction,clientEmailSubject,clientEmailContent,emailToRoles,adminVisible,clientVisible,estTime,buttonText,buttonLink,modalAdmin,modalClient,modalAutoRedirectAdmin,modalAutoRedirectClient,createdAt,updatedAt
0,In Progress,,New Project,,project,,,,New Project,,,,New Project Started → {{CLIENT_NAME}},,,,,,,/dashboard,,,,,2025-08-28T00:19:01.082515+00:00,2025-08-28T00:19:01.082515+00:00
10,In Progress,"rgb(0, 255, 255)",Documents Hold,,documents,<b>{{CLIENT_NAME}}</b> has not finished uploading project documents for <b>{{PROJECT_ADDRESS}}</b>.{{PROJECT_LINK?status=documents}},New Project Specs → {{PROJECT_ADDRESS}},Initial project specifications have been received for <b>{{PROJECT_ADDRESS}}</b> for<b>{{PROJECT_COMPANY_NAME}}</b>.,Upload Documents,,documents,Please upload your project documents for <b>{{PROJECT_ADDRESS}}</b> to continue. {{PROJECT_LINK?status=documents}},Project Specs Received → {{PROJECT_ADDRESS}},"{{CLIENT_FIRST_NAME}} {{CLIENT_LAST_NAME}}<br/>
Initial project specifications have been received for <b>{{PROJECT_ADDRESS}}</b> and are being reviewed by our team for <b>{{CLIENT_NAME}}</b>.<br><br>Please upload your project documents if you haven't already. Once that is completed we will email you when your project proposal is ready in <b>{{EST_TIME}}</b>.","[""Admin"",""Staff""]",,,1-2 business days,Project Dashboard,/project/{{PROJECT_ID}}?status=documents,New project <b>{{PROJECT_ADDRESS}}</b> successfully created.,New project <b>{{PROJECT_ADDRESS}}</b> successfully created. Please upload project documents.,/project/{{PROJECT_ID}}?status=discussion,/project/{{PROJECT_ID}}?status=discussion,2025-08-06T21:53:31.889053+00:00,2025-08-06T21:53:31.889053+00:00
20,In Progress,"rgb(12, 243, 255)",Generate Proposal,,proposal,Please generate the proposal for <b>{{PROJECT_ADDRESS}}</b>.{{PROJECT_LINK?status=proposal}},Generate Proposal → {{PROJECT_ADDRESS}},Please begin generating a proposal for <b>{{PROJECT_COMPANY_NAME}}'s</b> new project at<b>{{PROJECT_ADDRESS}}</b> based on the specifications provided.,Generating Proposal,,proposal,,Proposal is Being Generated → {{PROJECT_ADDRESS}},"{{CLIENT_FIRST_NAME}} {{CLIENT_LAST_NAME}}<br/>
We are currently generating a detailed proposal for <b>{{CLIENT_NAME}}'s</b> new project at <b>{{PROJECT_ADDRESS}}</b> based on the specifications provided.","[""Admin"",""Staff"",""Client""]",,,3-5 business days,Project Dashboard,/dashboard,Project documents successfully uploaded. Email sent to <b>{{CLIENT_EMAIL}}</b> notifying them that a proposal for <b>{{PROJECT_ADDRESS}}</b> will be ready in <b>{{EST_TIME}}</b>.,Project documents successfully uploaded. Proposal for <b>{{PROJECT_ADDRESS}}</b> will be ready in <b>{{EST_TIME}}</b>.,/project/{{PROJECT_ID}}?status=proposal,/project/{{PROJECT_ID}}?status=proposal,2025-08-06T21:53:31.889053+00:00,2025-08-06T21:53:31.889053+00:00
30,In Progress,"rgb(24, 231, 255)",Proposal Sent,,proposal,,Proposal Sent → {{PROJECT_ADDRESS}},Proposal for <b>{{PROJECT_COMPANY_NAME}}'s</b> project at <b>{{PROJECT_ADDRESS}}</b> has been completed and sent to <b>{{CLIENT_EMAIL}}</b>.,Approve Proposal,,proposal,Please accept or request edit(s) to the proposal for <b>{{PROJECT_ADDRESS}}</b>. {{PROJECT_LINK?status=proposal}},Proposal is Ready → {{PROJECT_ADDRESS}},"{{CLIENT_FIRST_NAME}} {{CLIENT_LAST_NAME}}<br/>
Proposal for <b>{{PROJECT_ADDRESS}}</b> has been completed.<br><br>Please login into your dashboard to approve or request edit(s).","[""Admin"",""Client""]",,,1 business day,View Your Proposal,/project/{{PROJECT_ID}}?status=proposal,Proposal notification for <b>{{PROJECT_ADDRESS}}</b> successfully sent to <b>{{CLIENT_EMAIL}}</b>.,,/project/dashboard,,2025-08-06T21:53:31.889053+00:00,2025-08-06T21:53:31.889053+00:00
35,,"rgb(30, 225, 255)",Proposal Opened,,proposal,,Proposal Viewed → {{PROJECT_ADDRESS}},,Approve Proposal,,proposal,Please accept or request edit(s) to the proposal for <b>{{PROJECT_ADDRESS}}</b>. {{PROJECT_LINK?status=proposal}},,,"[""Admin"",""Staff"",""Client""]",,,1-2 business days,Project Dashboard,,,,/project/dashboard,,2025-08-06T21:53:31.889053+00:00,2025-08-06T21:53:31.889053+00:00
40,,"rgb(36, 219, 255)",Proposal Viewed,,proposal,,,,Approve Proposal,,proposal,Please accept or request edit(s) to the proposal for <b>{{PROJECT_ADDRESS}}</b>. {{PROJECT_LINK?status=proposal}},,,"[""Admin"",""Staff"",""Client""]",,,,,,,,/project/dashboard,,2025-09-07T02:17:29.60435+00:00,2025-09-07T02:17:29.60435+00:00
45,,"rgb(42, 213, 255)",Contract Hold,,contract,,Proposal Accepted → {{PROJECT_ADDRESS}},Proposal for <b>{{PROJECT_COMPANY_NAME}}'s</b> project at <b>{{PROJECT_ADDRESS}}</b> has been accepted.,Sign Contract,,contract,"Please sign the contract for <b>{{PROJECT_ADDRESS}}</b>. {{PROJECT_LINK?status=contract}}
",Proposal Accepted → {{PROJECT_ADDRESS}},"{{CLIENT_FIRST_NAME}} {{CLIENT_LAST_NAME}}<br/>
Thank you for accepting the proposal for <b>{{PROJECT_ADDRESS}}</b>.","[""Admin"",""Staff"",""Client""]",,,,,,,Thank you for accepting our proposal for <b>{{PROJECT_ADDRESS}}<b>.,,/project/{{PROJECT_ID}}?status=contract,2025-09-07T19:38:44.397512+00:00,2025-09-07T19:38:44.397512+00:00
50,,"rgb(48, 207, 255)",Contract Signed,,deposit,,Contract Signed → {{PROJECT_ADDRESS}},Contract for <b>{{PROJECT_ADDRESS}}</b> has been signed by <b>{{CLIENT_NAME}}</b>.,Submit 50% Deposit,,deposit,Please pay the deposit for <b>{{PROJECT_ADDRESS}}</b>.{{PROJECT_LINK?status=deposit}},Contract Signed → {{PROJECT_ADDRESS}},"{{CLIENT_FIRST_NAME}} {{CLIENT_LAST_NAME}}<br/>
Thank you for signing off on the proposal for <b>{{PROJECT_ADDRESS}}</b>. We will now proceed with the next phase.

{{CONTRACT_URL}}","[""Admin"",""Staff"",""Client""]",,,1 business day,Download Signed Contract,{{CONTRACT_URL}},,Contract Signed Successfully for <b>{{PROJECT_ADDRESS}}</b>. A copy has been sent to <b>{{CLIENT_EMAIL}}</b>.,,/project/{{PROJECT_ID}}?status=deposit,2025-08-06T21:53:31.889053+00:00,2025-08-06T21:53:31.889053+00:00
55,,"rgb(54, 201, 255)",Deposit Sent,,deposit,,,,Submit 50% Deposit,,deposit,Please pay the deposit for <b>{{PROJECT_ADDRESS}}</b>.{{PROJECT_LINK?status=deposit}},Deposit Invoice is Ready → {{PROJECT_ADDRESS}},"{{CLIENT_FIRST_NAME}} {{CLIENT_LAST_NAME}}<br/>
The deposit invoice for <b>{{PROJECT_ADDRESS}}</b> is ready. Soon as payment as received CAPCo will begin generating your project files.","[""Admin"",""Staff"",""Client""]",,,,View Deposit Invoice,/project/{{PROJECT_ID}}?status=deposit,Deposit notification email for <b>{{PROJECT_ADDRESS}}</b> sent to <b>{{CLIENT_EMAIL}}</b>.,,/project/dashboard,,2025-09-07T04:15:27.581954+00:00,2025-09-07T04:15:27.581954+00:00
60,,"rgb(61, 195, 255)",Deposit Opened,,deposit,,,,Submit 50% Deposit,,deposit,Please pay the deposit for <b>{{PROJECT_ADDRESS}}</b>.{{PROJECT_LINK?status=deposit}},,,"[""Admin"",""Staff"",""Client""]",,,,,,,,,,2025-09-07T19:56:47.330976+00:00,2025-09-07T19:56:47.330976+00:00
